id,client,chatbot,biais_detecte,nb_biais,suggestion,chatbot_reforme
151,Je veux changer mon adresse de livraison.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
152,J’ai reçu un article endommagé.,Vous pouvez annuler depuis votre espace client.,{},0,[],Vous pouvez annuler depuis votre espace client.
153,Comment retourner un produit ?,Vous pouvez annuler depuis votre espace client.,{},0,[],Vous pouvez annuler depuis votre espace client.
154,Je veux annuler ma commande.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
155,Je veux changer mon adresse de livraison.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
156,Mon colis est en retard.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
157,Le code promo ne fonctionne pas.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
158,Je n’ai pas reçu l’email de confirmation.,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
159,"Bonjour, j’ai un problème avec ma commande.",Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
160,Je veux annuler ma commande.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
161,Est-ce que vous livrez dans mon pays ?,Essayez un autre moyen de paiement ou contactez votre banque.,{'manque_politesse': ['contactez votre banque']},1,"[""'contactez votre banque' → 'nous vous suggérons de contacter votre banque'""]",Essayez un autre moyen de paiement ou nous vous suggérons de contacter votre banque.
162,Je n’ai pas reçu l’email de confirmation.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]","pourriez-vous vérifier vos spams, sinon envoyez-moi votre adresse email."
163,J’ai reçu un article endommagé.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
164,Je n’arrive pas à payer sur votre site.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
165,"Bonjour, j’ai un problème avec ma commande.","Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[],"Bien sûr, vous pouvez retourner l’article depuis votre compte."
166,Mon colis est en retard.,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
167,Le code promo ne fonctionne pas.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]","pourriez-vous vérifier vos spams, sinon envoyez-moi votre adresse email."
168,Je n’arrive pas à payer sur votre site.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
169,Le code promo ne fonctionne pas.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
170,Je veux annuler ma commande.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
171,Est-ce que vous livrez dans mon pays ?,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
172,Je n’ai pas reçu l’email de confirmation.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
173,Je n’arrive pas à payer sur votre site.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
174,Le code promo ne fonctionne pas.,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]","pourriez-vous vérifier vos spams, sinon envoyez-moi votre adresse email."
175,J’ai reçu un article endommagé.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
176,Est-ce que vous livrez dans mon pays ?,Vous pouvez annuler depuis votre espace client.,{},0,[],Vous pouvez annuler depuis votre espace client.
177,Je n’arrive pas à payer sur votre site.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
178,Je veux annuler ma commande.,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
179,J’ai reçu un article endommagé.,Vous pouvez annuler depuis votre espace client.,{},0,[],Vous pouvez annuler depuis votre espace client.
180,Je veux changer mon adresse de livraison.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
181,Je n’ai pas reçu l’email de confirmation.,"Désolé pour cela, pouvez-vous envoyer une photo ?",{},0,[],"Désolé pour cela, pouvez-vous envoyer une photo ?"
182,"Bonjour, j’ai un problème avec ma commande.",Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
183,Mon colis est en retard.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
184,Je n’ai pas reçu l’email de confirmation.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
185,Est-ce que vous livrez dans mon pays ?,Vous pouvez annuler depuis votre espace client.,{},0,[],Vous pouvez annuler depuis votre espace client.
186,Je n’arrive pas à payer sur votre site.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
187,"Bonjour, j’ai un problème avec ma commande.","Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
188,Je veux annuler ma commande.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
189,Je n’arrive pas à payer sur votre site.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
190,Est-ce que vous livrez dans mon pays ?,"Bien sûr, vous pouvez retourner l’article depuis votre compte.",{},0,[],"Bien sûr, vous pouvez retourner l’article depuis votre compte."
191,"Bonjour, j’ai un problème avec ma commande.",Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
192,Je n’ai pas reçu l’email de confirmation.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
193,Je veux annuler ma commande.,Vérifiez la validité du code ou sa date d’expiration.,{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]",pourriez-vous vérifier la validité du code ou sa date d’expiration.
194,Est-ce que vous livrez dans mon pays ?,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
195,Comment retourner un produit ?,"Vérifiez vos spams, sinon envoyez-moi votre adresse email.",{'manque_politesse': ['vérifiez']},1,"[""'vérifiez' → 'pourriez-vous vérifier'""]","pourriez-vous vérifier vos spams, sinon envoyez-moi votre adresse email."
196,Je n’arrive pas à payer sur votre site.,Modifiez l’adresse depuis les paramètres de votre profil.,{},0,[],Modifiez l’adresse depuis les paramètres de votre profil.
197,Le code promo ne fonctionne pas.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
198,Je n’arrive pas à payer sur votre site.,"Je peux vous aider, quel est votre numéro de commande ?",{},0,[],"Je peux vous aider, quel est votre numéro de commande ?"
199,J’ai reçu un article endommagé.,"Je suis navré, je vérifie le statut immédiatement.",{},0,[],"Je suis navré, je vérifie le statut immédiatement."
200,Je n’ai pas reçu l’email de confirmation.,"Oui, nous livrons dans votre pays. Quel est votre code postal ?",{},0,[],"Oui, nous livrons dans votre pays. Quel est votre code postal ?"
